Stock,Set,Metric,CNN,CNN(Topic),CNN-LSTM,CNN-LSTM(Topic),LSTM,LSTM(Topic)
AAPL,Train Set,RMSE,2.509469087196091,2.3209792035973944,,,,
AAPL,Train Set,MAE,1.9370789927214824,1.9137056097021243,,,,
AAPL,Train Set,R2,0.9588091233907526,0.9647645491872482,,,,
AAPL,Train Set,MAPE,1.1979902541800334,1.1759009828148959,,,,
AAPL,Test Set,RMSE,5.317355898997212,4.488432355499598,,,,
AAPL,Test Set,MAE,4.499011993408203,3.6941177368164064,,,,
AAPL,Test Set,R2,-0.7400625133340923,-0.2398317712484872,,,,
AAPL,Test Set,MAPE,2.932544574725288,2.399552392914324,,,,
AAPL,Train Set,RMSE,,,2.9743106189291475,2.6682495777404074,,
AAPL,Train Set,MAE,,,2.388228543286253,2.188966271912523,,
AAPL,Train Set,R2,,,0.9421357967729009,0.9534317162133612,,
AAPL,Train Set,MAPE,,,1.5014239098875115,1.3730883266056335,,
AAPL,Test Set,RMSE,,,3.5032603461748075,3.3977366168952057,,
AAPL,Test Set,MAE,,,2.7669166564941405,2.629552459716797,,
AAPL,Test Set,R2,,,0.24470220130452525,0.28951843537324284,,
AAPL,Test Set,MAPE,,,1.7894444579957967,1.7048465736155185,,
AAPL,Train Set,RMSE,,,,,3.1264178449382793,3.0692760648448543
AAPL,Train Set,MAE,,,,,2.529821987809806,2.523052873282597
AAPL,Train Set,R2,,,,,0.9360660737189677,0.9383817670956568
AAPL,Train Set,MAPE,,,,,1.5877972161216063,1.5935788256095096
AAPL,Test Set,RMSE,,,,,4.211903966682743,3.3449360413840497
AAPL,Test Set,MAE,,,,,3.5021392822265627,2.6410430908203124
AAPL,Test Set,R2,,,,,-0.09176788070505548,0.3114285235206806
AAPL,Test Set,MAPE,,,,,2.2808511113607217,1.719290658124181
AMD,Train Set,RMSE,3.59995383576704,4.5493238972083,,,,
AMD,Train Set,MAE,2.631291807578702,3.63229663266337,,,,
AMD,Train Set,R2,0.9747238154698284,0.9596344038656942,,,,
AMD,Train Set,MAPE,2.3760234283098973,3.092467122965309,,,,
AMD,Test Set,RMSE,5.7158518948169545,6.0856631418772835,,,,
AMD,Test Set,MAE,5.032942581176758,4.825546646118164,,,,
AMD,Test Set,R2,0.15136044429031126,0.037995385987906194,,,,
AMD,Test Set,MAPE,6.828531085339162,6.394922075517581,,,,
AMD,Train Set,RMSE,,,3.684820693514533,3.1535080629013206,,
AMD,Train Set,MAE,,,2.957610557819235,2.482201599722425,,
AMD,Train Set,R2,,,0.9735180248778768,0.9806042960942979,,
AMD,Train Set,MAPE,,,2.6822480833462063,2.2583882542616736,,
AMD,Test Set,RMSE,,,5.347268231217029,5.38864908563599,,
AMD,Test Set,MAE,,,4.318825531005859,4.16742172241211,,
AMD,Test Set,R2,,,0.25727973088918765,0.24573988661744295,,
AMD,Test Set,MAPE,,,6.053835333630207,5.8318300921041955,,
AMD,Train Set,RMSE,,,,,4.2561537642626615,3.947783394345082
AMD,Train Set,MAE,,,,,3.423466687131985,3.2283923144410984
AMD,Train Set,R2,,,,,0.9646692974710261,0.9696034505707586
AMD,Train Set,MAPE,,,,,3.132702212491509,2.9392975089770896
AMD,Test Set,RMSE,,,,,4.191806383404829,5.511872779373657
AMD,Test Set,MAE,,,,,3.658173751831055,4.526327514648438
AMD,Test Set,R2,,,,,0.5435809467391239,0.21084973555288455
AMD,Test Set,MAPE,,,,,4.985197349992537,6.326906386336992
AMZN,Train Set,RMSE,3.2693430522173754,3.53143957046583,,,,
AMZN,Train Set,MAE,2.329407264446391,2.424494137317677,,,,
AMZN,Train Set,R2,0.9797758089137751,0.9764031663379407,,,,
AMZN,Train Set,MAPE,1.5973450752720548,1.6485634161656912,,,,
AMZN,Test Set,RMSE,6.5991602576623505,5.544626724842032,,,,
AMZN,Test Set,MAE,5.243022155761721,4.515139389038087,,,,
AMZN,Test Set,R2,-0.03405076503587545,0.27002306529234865,,,,
AMZN,Test Set,MAPE,4.282210675895551,3.6029303261198846,,,,
AMZN,Train Set,RMSE,,,3.9562673509775874,3.522002637946616,,
AMZN,Train Set,MAE,,,3.1108212776372,2.6520124914610914,,
AMZN,Train Set,R2,,,0.9703843385303217,0.9765291116871483,,
AMZN,Train Set,MAPE,,,2.206414501769382,1.8819823323465112,,
AMZN,Test Set,RMSE,,,4.997474127665056,4.509175545685978,,
AMZN,Test Set,MAE,,,4.3168083190918,3.8808017730712927,,
AMZN,Test Set,R2,,,0.4069850818347349,0.5172094107148142,,
AMZN,Test Set,MAPE,,,3.4988986870012964,3.0798667895697416,,
