Model,Variant,n_stocks,RMSE_mean,RMSE_std,MAE_mean,R2_mean,MAPE_mean
CNN,no_scores,25,8.055793529684705,6.097463032937738,6.574737033843994,-0.7766136464403504,5.273008451957271
CNN,only_score,25,8.219859937241589,6.245696738583284,6.861586553573609,-0.7972734130097586,5.563303522419569
CNN,only_score_bert,25,8.570653398847275,6.111603148530667,7.259243404388428,-1.4403722675752304,6.475183530239061
CNN,score_plus_topic_vader,25,8.272705877514728,6.524042906907355,6.7131819152832035,-1.3360318801953517,5.8709392165248495
CNN,score_bert_plus_topic_bert,25,8.19091048776455,6.348905611082472,6.589002658843994,-0.6701870851742676,5.154263770181052
CNN-LSTM,no_scores,25,6.2687931405758786,4.319361883700077,5.129726688385009,-0.6317390553073949,4.791658804565127
CNN-LSTM,only_score,25,6.290340037875259,4.673581251255785,5.111990547180175,-0.21539378095718512,4.311006031178704
CNN-LSTM,only_score_bert,25,5.920328839739122,4.192694504714996,4.890715448379517,-0.22925437549198247,4.481926980979589
CNN-LSTM,score_plus_topic_vader,25,6.779667375121651,5.436330011386235,5.563922685623169,-0.7100563231763006,4.79874010001208
CNN-LSTM,score_bert_plus_topic_bert,25,6.38451443032745,4.475660076109033,5.278228553771973,-0.5137236409303249,4.944705917313242
LSTM,no_scores,25,5.518786449952286,4.013671099466944,4.543696489334106,0.08224444764163043,3.955891174323838
LSTM,only_score,25,5.916799442752461,4.448313359000797,4.742986093521118,-0.13586770467692325,4.152852509202283
LSTM,only_score_bert,25,5.31922769538781,3.8246711472912605,4.320828443527222,0.2939285366494536,3.35363089643361
LSTM,score_plus_topic_vader,25,5.910795382510543,4.369216254375159,4.892633380889891,-0.07356525718630233,4.375877248246684
LSTM,score_bert_plus_topic_bert,25,5.879321508033384,4.328852223287001,4.787046688079833,-0.04745847103080353,4.100437746839656
