Stock,Model,Variant,Delta_RMSE,ModelVariant
AAPL,CNN,only_score,-0.024070915568424667,CNN | only_score
AAPL,CNN,only_score_bert,-1.7344717305671207,CNN | only_score_bert
AAPL,CNN,score_plus_topic_vader,-0.08221729218398544,CNN | score_plus_topic_vader
AAPL,CNN,score_bert_plus_topic_bert,-0.8508683986636258,CNN | score_bert_plus_topic_bert
AAPL,CNN-LSTM,only_score,-1.366860060764525,CNN-LSTM | only_score
AAPL,CNN-LSTM,only_score_bert,0.16543129030321246,CNN-LSTM | only_score_bert
AAPL,CNN-LSTM,score_plus_topic_vader,0.05268294762991177,CNN-LSTM | score_plus_topic_vader
AAPL,CNN-LSTM,score_bert_plus_topic_bert,-0.12741030373030693,CNN-LSTM | score_bert_plus_topic_bert
AAPL,LSTM,only_score,0.3641274262470571,LSTM | only_score
AAPL,LSTM,only_score_bert,-1.8415798351460135,LSTM | only_score_bert
AAPL,LSTM,score_plus_topic_vader,-0.5740351582105858,LSTM | score_plus_topic_vader
AAPL,LSTM,score_bert_plus_topic_bert,0.2094203856282424,LSTM | score_bert_plus_topic_bert
AMD,CNN,only_score,-0.45300189680674485,CNN | only_score
AMD,CNN,only_score_bert,-1.3828739040887168,CNN | only_score_bert
AMD,CNN,score_plus_topic_vader,-0.08624148992494529,CNN | score_plus_topic_vader
AMD,CNN,score_bert_plus_topic_bert,-1.132936480787082,CNN | score_bert_plus_topic_bert
AMD,CNN-LSTM,only_score,-1.2614681587542265,CNN-LSTM | only_score
AMD,CNN-LSTM,only_score_bert,-1.3348711067765962,CNN-LSTM | only_score_bert
AMD,CNN-LSTM,score_plus_topic_vader,-0.3025003293242894,CNN-LSTM | score_plus_topic_vader
AMD,CNN-LSTM,score_bert_plus_topic_bert,-0.7831433612675243,CNN-LSTM | score_bert_plus_topic_bert
AMD,LSTM,only_score,-1.1030062605061142,LSTM | only_score
AMD,LSTM,only_score_bert,0.20601398880976074,LSTM | only_score_bert
AMD,LSTM,score_plus_topic_vader,0.1465561195989844,LSTM | score_plus_topic_vader
AMD,LSTM,score_bert_plus_topic_bert,0.3638072162799668,LSTM | score_bert_plus_topic_bert
AMZN,CNN,only_score,0.13404470519334755,CNN | only_score
AMZN,CNN,only_score_bert,-0.06424891056133841,CNN | only_score_bert
AMZN,CNN,score_plus_topic_vader,0.7426214009088801,CNN | score_plus_topic_vader
AMZN,CNN,score_bert_plus_topic_bert,-0.19353637819483804,CNN | score_bert_plus_topic_bert
AMZN,CNN-LSTM,only_score,0.25799171123178066,CNN-LSTM | only_score
AMZN,CNN-LSTM,only_score_bert,-0.6476951589121738,CNN-LSTM | only_score_bert
AMZN,CNN-LSTM,score_plus_topic_vader,0.3259646217905052,CNN-LSTM | score_plus_topic_vader
AMZN,CNN-LSTM,score_bert_plus_topic_bert,-0.06717845898778396,CNN-LSTM | score_bert_plus_topic_bert
AMZN,LSTM,only_score,-0.28954313134678156,LSTM | only_score
AMZN,LSTM,only_score_bert,-0.8845212230925155,LSTM | only_score_bert
AMZN,LSTM,score_plus_topic_vader,-0.5034709629425747,LSTM | score_plus_topic_vader
AMZN,LSTM,score_bert_plus_topic_bert,-0.9328271792584246,LSTM | score_bert_plus_topic_bert
BA,CNN,only_score,-4.3365834646740975,CNN | only_score
BA,CNN,only_score_bert,0.4652939668978737,CNN | only_score_bert
BA,CNN,score_plus_topic_vader,1.996991190252066,CNN | score_plus_topic_vader
BA,CNN,score_bert_plus_topic_bert,0.7890438962266444,CNN | score_bert_plus_topic_bert
BA,CNN-LSTM,only_score,-2.560795809844068,CNN-LSTM | only_score
BA,CNN-LSTM,only_score_bert,0.31610296886168854,CNN-LSTM | only_score_bert
BA,CNN-LSTM,score_plus_topic_vader,1.0842901312605813,CNN-LSTM | score_plus_topic_vader
BA,CNN-LSTM,score_bert_plus_topic_bert,-2.4424112750553677,CNN-LSTM | score_bert_plus_topic_bert
BA,LSTM,only_score,0.5407615604824807,LSTM | only_score
BA,LSTM,only_score_bert,-0.9159291134694456,LSTM | only_score_bert
BA,LSTM,score_plus_topic_vader,-2.496002574953371,LSTM | score_plus_topic_vader
BA,LSTM,score_bert_plus_topic_bert,0.9449230167698692,LSTM | score_bert_plus_topic_bert
BX,CNN,only_score,0.9695589517376009,CNN | only_score
BX,CNN,only_score_bert,-0.5009583757187821,CNN | only_score_bert
BX,CNN,score_plus_topic_vader,0.1009027330324006,CNN | score_plus_topic_vader
BX,CNN,score_bert_plus_topic_bert,-0.4297553849208313,CNN | score_bert_plus_topic_bert
BX,CNN-LSTM,only_score,0.3736726639899697,CNN-LSTM | only_score
BX,CNN-LSTM,only_score_bert,0.5633487152271264,CNN-LSTM | only_score_bert
