Stock,Modèle,RMSE_NoTopic,RMSE_Topic,Delta_RMSE
AAPL,CNN,5.317355898997212,4.488432355499598,0.8289235434976137
AAPL,CNN-LSTM,3.5032603461748075,3.3977366168952057,0.10552372927960185
AAPL,LSTM,4.211903966682743,3.3449360413840497,0.8669679252986935
AMD,CNN,5.7158518948169545,6.0856631418772835,-0.369811247060329
AMD,CNN-LSTM,5.347268231217029,5.38864908563599,-0.041380854418960666
AMD,LSTM,4.191806383404829,5.511872779373657,-1.3200663959688272
AMZN,CNN,6.5991602576623505,5.544626724842032,1.0545335328203187
AMZN,CNN-LSTM,4.997474127665056,4.509175545685978,0.4882985819790777
AMZN,LSTM,3.767954018980085,5.114495938884773,-1.3465419199046882
BA,CNN,4.8208250098309415,5.473337319704238,-0.6525123098732966
BA,CNN-LSTM,4.857556898900232,4.133105656000799,0.7244512428994332
BA,LSTM,5.70923798572367,7.582760976694651,-1.8735229909709812
BX,CNN,4.820973230877039,6.734463364392186,-1.9134901335151469
BX,CNN-LSTM,5.718726607099108,4.4446523540853935,1.2740742530137146
BX,LSTM,3.500512597155998,5.183035429787001,-1.6825228326310029
COST,CNN,17.28282597612776,19.885654048310343,-2.6028280721825823
COST,CNN-LSTM,12.157148822835321,11.412529541346947,0.7446192814883741
COST,LSTM,12.111349534673424,13.075996705798547,-0.9646471711251223
CRM,CNN,20.952206965389784,18.942016612343906,2.0101903530458785
CRM,CNN-LSTM,15.75640484905025,24.855266405886525,-9.098861556836274
CRM,LSTM,9.582625630507517,20.00421381894616,-10.421588188438642
DIS,CNN,8.47456936362952,8.10354833400441,0.3710210296251102
DIS,CNN-LSTM,4.014393592042333,4.4337491998464005,-0.4193556078040679
DIS,LSTM,2.7287946340831493,2.937487883011069,-0.20869324892791985
ENPH,CNN,19.43517091044677,20.177301612192156,-0.7421307017453849
ENPH,CNN-LSTM,13.493018217122357,14.294209169671861,-0.8011909525495042
ENPH,LSTM,27.441454382473253,11.156349391953217,16.285104990520036
F,CNN,0.9790983804430052,1.0110935245477213,-0.031995144104716045
F,CNN-LSTM,0.6367259328761168,0.7281674386347547,-0.09144150575863796
F,LSTM,0.726252681942847,0.5301296177300995,0.1961230642127475
GOOG,CNN,13.540680138114729,10.221795497240558,3.3188846408741703
GOOG,CNN-LSTM,16.102567942444615,16.724642672008823,-0.6220747295642077
GOOG,LSTM,11.292245225228841,11.914242308095483,-0.6219970828666419
INTC,CNN,1.4274696969150313,4.32091462622645,-2.893444929311419
INTC,CNN-LSTM,1.1425919185941826,1.376707981480177,-0.2341160628859944
INTC,LSTM,2.6037058389230747,4.179004184785622,-1.5752983458625476
KO,CNN,1.0781557294540687,1.207810574254467,-0.12965484480039824
KO,CNN-LSTM,0.9061685852526014,1.3021637360301883,-0.39599515077758696
KO,LSTM,0.7978814031491762,0.7630196690971158,0.03486173405206039
META,CNN,18.280287724161624,17.603843619450643,0.6764441047109813
META,CNN-LSTM,6.339154549150537,15.317576798287085,-8.978422249136548
META,LSTM,10.890615505843936,12.104185452169363,-1.2135699463254266
MSFT,CNN,14.391135228544412,13.503107274303712,0.8880279542406999
MSFT,CNN-LSTM,20.30290676711676,13.65317511611827,6.64973165099849
MSFT,LSTM,14.628810531526046,10.235131339624933,4.3936791919011124
NFLX,CNN,15.35989261072685,15.67748252357802,-0.3175899128511688
NFLX,CNN-LSTM,11.30532844656924,10.405130312786468,0.9001981337827711
NFLX,LSTM,9.293378825009695,8.790278597062256,0.5031002279474386
NIO,CNN,1.9266295409283387,1.8493877666441065,0.07724177428423218
NIO,CNN-LSTM,1.2192255721193663,1.1937795050195463,0.025446067099820002
NIO,LSTM,1.2631993222100404,1.2552042923825761,0.00799502982746425
NOC,CNN,11.495438667027898,13.064283257765364,-1.5688445907374664
NOC,CNN-LSTM,10.19120855803808,7.373715339398807,2.8174932186392727
NOC,LSTM,8.036182124145588,8.277711536584924,-0.2415294124393359
PG,CNN,2.8123284473771153,3.0323120857916055,-0.2199836384144902
PG,CNN-LSTM,2.4477244634906663,3.219765676553646,-0.7720412130629799
PG,LSTM,2.0111799065209643,2.962822436024819,-0.9516425295038546
PYPL,CNN,10.642081877602928,5.6636451781487,4.978436699454228
PYPL,CNN-LSTM,3.369868282930568,4.869848054939808,-1.4999797720092403
PYPL,LSTM,3.9679013734586266,5.381238776623793,-1.413337403165166
TSLA,CNN,15.305752598672193,15.57937853098055,-0.27362593230835763
TSLA,CNN-LSTM,10.358078999411664,8.056468492044697,2.3016105073669664
TSLA,LSTM,9.376847252986032,10.003791659195345,-0.6269444062093132
TSM,CNN,4.898299795951405,6.123551946714256,-1.2252521507628513
TSM,CNN-LSTM,3.03722014613137,5.512242881026808,-2.4750227348954374
TSM,LSTM,2.7784416582806446,2.878154552348089,-0.09971289406744432
VZ,CNN,1.47993773708909,3.8098423454935815,-2.329904608404491
VZ,CNN-LSTM,0.9316163008079114,0.799699659724857,0.13191664108305434
VZ,LSTM,0.7268589717818292,2.2177407184227227,-1.4908817466408935
XPEV,CNN,1.8858907012261574,9.014633422872372,-7.128742721646214
XPEV,CNN-LSTM,3.411779128205587,3.8172151517988677,-0.40543602359328057
XPEV,LSTM,3.1528829601149564,4.721983188420511,-1.5691002283055546
ZS,CNN,14.931869730480125,19.39719374987133,-4.465324019391206
ZS,CNN-LSTM,12.07709477608397,13.450752203929207,-1.373657427845238
ZS,LSTM,11.473025624686436,14.12491611880522,-2.651890494118785
